c;u(c);A;u(A)
1,00E-06;1,00E-08;0;0,048
2,00E-06;2,00E-08;0,08092;0,026
3,00E-06;3,00E-08;0,1367;0,016
4,00E-06;4,00E-08;0,2076;0,012
5,00E-06;5,00E-08;0,2596;0,0097
6,00E-06;6,00E-08;0,3468;0,0079
7,00E-06;7,00E-08;0,4437;0,007
8,00E-06;8,00E-08;0,5528;0,0059
9,00E-06;9,00E-08;0,7;0,0052
1,00E-05;1,00E-07;0,8;0,0048
